1,80,115,122,
0,2,
1,3,
2,4,
3,5,
4,6,
5,7,65,143,
6,8,65,64,
7,9,
8,10,32,33,
9,11,
10,12,101,102,
11,13,49,50,
12,14,
13,15,
14,16,
15,17,
16,18,
17,19,95,96,121,
18,
21,
20,22,
21,23,91,92,
22,24,
23,25,
24,26,
25,27,
26,28,
27,29,
28,30,48,49,
29,31,100,101,
30,32,
31,9,
34,9,
33,35,119,63,103,104,
34,36,
35,37,
36,38,
37,39,
38,40,
39,41,159,158,
40,42,
41,
44,
43,45,87,88,
44,46,
45,47,73,74,
46,48,
47,29,100,146,
12,29,
51,12,
50,52,
51,53,120,119,
52,54,
53,55,
54,56,
55,57,161,160,
56,58,
57,59,
58,60,
59,61,
60,
63,104,105,
62,64,34,118,
63,7,
66,6,7,144,
65,67,
66,68,75,76,
67,69,
68,70,
69,88,
72,
71,73,86,87,
72,46,
75,46,
74,67,
77,67,
76,78,
77,79,141,142,
78,80,
79,0,
82,89,
81,83,
82,84,
83,85,
84,86,
85,72,
44,72,
44,70,
90,81,
89,91,
90,22,
93,22,
92,94,
93,95,
94,18,
97,18,
96,98,
97,99,162,
98,
30,48,145,
11,30,
103,11,
102,34,
34,62,
106,62,
105,107,
106,108,
107,109,
108,110,
109,111,158,157,
110,112,
111,113,
112,114,
113,
116,0,
115,117,
116,118,
117,63,
34,52,
121,52,
120,18,
123,0,
122,124,
123,125,
124,126,
125,127,
126,128,
127,129,
128,130,
129,
132,
131,133,
132,134,
133,135,
134,136,
135,137,
136,138,
137,139,
138,140,
139,141,
140,78,
143,78,
142,6,
145,65,
144,100,
48,
148,
147,149,
148,150,
149,151,
150,152,
151,153,
152,154,
153,155,
154,156,
155,157,
156,110,
40,110,
160,40,
159,56,
162,56,
161,98,
